,,,,,,
,,,,,,
,,,,,,
Actor,Actividad,Meta,Id Meta,Funcionalidad,Id Meta Intra-actor,Id Meta Inter-actor
Tutor/Padre/Progenitor,Solicitar Permiso,Conseguir permiso de viaje a exterior de menor,M01,"Registrar documentacion de 
permiso",M01,M01
,Cargar documentacion de permiso,,,,,
,Sacar turno,Resolver obtencion de permiso,M02,Registrar asignación de turno,M01,M01
,Pagar impuesto de sellado,Pagar impuesto de sellado,M03,Registrar pago de impuesto,M01,M01
Plataforma de gobierno,Solicitar Validacion de Nacimiento / Edad,Determinar continuidad de solicitud de permiso,M04,"Registrar solicitud de validacion
de nacimiento",M04,M01
,Emitir alerta,Dar aviso de baja de permiso,M05,Enviar alerta,M01,M01
,Guardar documentacion cargada,Registrar permiso y documentacion asociada,M06,Registrar permiso y documentacion asociada,M06,M01
,Otorgar turno,Guardar espacio para atencion del permiso,M07,Registrar turno,M07,M01
,Activar vigencia,Poner vigencia al permiso,M08,Autorizar activacion de vigencia,M08,M01
,Imprimir Permiso firmado mas sello,Otorgar constancia de permiso obtenido,M09,"Generar permiso firmado mas 
sello",M08,M01
,Notificar puesta en vigencia,Dar aviso de nuevo permiso,M10,Enviar notificacion de aviso,M10,M01
,Realizar cobro electronico de impuesto,Cobrar impuesto en forma electronica,M11,Registrar cobro de impuesto,M11,M01
Representante legal,Consultar documentacion digital,Documentacion digital,M12,Mostrar documentacion digital,M12,M01
,"Verificar vigencia y autenticidad del Dni 
de progenitores",Verificar legalidad de documentacion,M13,Mostrar documentacion ,M13,M01
,"Verificar integridad de la partida de 
nacimiento",,,,,M01
,"Verificar integridad de certificado de 
defuncion",,,,,M01
,Generar permiso de viaje al exterior,Emitir permiso,M14,Generar permiso,M14,M01
,FIrmar permiso,Autorizar permiso,M15,"Registrar foto del permiso firmado
 y sellado",M15,M01
Agente de IA,Validar edad,Validar edad,M16,"Verificar mayoría de edad a partir 
de la fecha de nacimiento",M16,M01
Simi,Informar estado de permiso,Informar estado de permiso,M17,"Enviar consulta de validación al 
SIMI y mostrar respuesta",M17,M19
Boca de cobro,Realizar cobro presencial de impuesto,Cobrar impuesto de forma no electronica,M18,"Registrar comprobante de pago
 presencial",M18,M01
"Empleado de
 migraciones",Autorizar salida del pais a menor,Permitir salida del pais al menor,M19,"Leer código QR, consultar estado
 en SIMI y mostrar resultado",M19,M19
,Controlar permiso,,,,,M19
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Meta,Conseguir permiso de viaje a exterior de menor,,,,,
Actor,Tutor/Padre/Progenitor,,,,,
Tipo Actor,Primario,,,,,
Nivel meta,Principal,,,,,
Otros Actores,"Representante legal,Agente de IA, Simi ,
Boca de cobro, Empleado de migraciones",,,,,
Alcance,"Inicia cuando el progenitor carga la 
documentación y solicita un turno en la 
plataforma, y finaliza cuando el sistema 
emite el permiso, activa su vigencia y 
notifica la autorización al SIMI.

",,,,,
