Nombre,Descripción,Actor,Stakeholder
Plataforma de pagos,Sistema que se encarga de realizar el cobro digital de pagos.,No,Si
Representante Legal,"Persona que se encarga de controlar los turnos, verificar documentos, recibos, firmar y sellar permiso y vincular pago 
a expediente.",Si,Si
Sistema de migraciones (SIMI),Sistema que se encarga de recibir notificaciones de nuevos permisos e informar el estado del permiso.,Si,Si
Empleado de Migraciones,Persona que controla el permiso y permite o deniega la salida del país al menor.,Si,Si
Gobierno Santa Fe,Entidad que convoca para relevar los procesos de negocios de autorización de viaje al menor.,No,Si
Menor,Persona que desea realizar el viaje y necesita obtener el permiso.,No,Si
Plataforma,"Sistema principal que se encarga de gestionar turnos, documentos, generar permiso y ponerlo en vigencia.",Si,Si
Tutor/Padre/Progenitor,"Persona que solicita permiso, carga documentos, saca turno y paga impuesto.",Si,Si
AI,Herramienta del sistema que se encarga de validar la edad del menor.,Si,Si
Boca de Cobro,Entidad que realiza el cobro presencial del impuesto.,Si,Si
